spectra (nm),
626.71,0.03677019
627.05,0.036543504
627.4,0.036477669
627.74,0.03635213
628.09,0.035901504
628.43,0.036003683
628.78,0.036175856
629.13,0.036076498
629.47,0.036236807
629.82,0.036130207
630.16,0.035868405
630.51,0.03585215
630.85,0.036128295
631.2,0.036137224
631.54,0.035910528
631.89,0.035688828
632.24,0.036073457
632.58,0.036071332
632.93,0.035945274
633.27,0.03579701
633.62,0.035864239
633.96,0.035591765
634.31,0.03558558
634.65,0.035574379
635,0.035921525
635.34,0.036012978
635.69,0.035836171
636.03,0.035806638
636.38,0.035871683
636.72,0.03610728
637.07,0.036065665
637.41,0.036303332
637.75,0.03626095
638.1,0.036521579
638.44,0.036770059
638.79,0.037050312
639.13,0.037007199
639.48,0.037114333
639.82,0.037253214
640.17,0.037584601
640.51,0.037705279
640.85,0.037752597
641.2,0.038359965
641.54,0.038412404
641.89,0.038859773
642.23,0.038957323
642.57,0.039287294
642.92,0.03905303
643.26,0.039372818
643.61,0.038946248
643.95,0.039642112
644.29,0.039692141
644.64,0.039634974
644.98,0.039802437
645.33,0.039666296
645.67,0.040046292
646.01,0.039744509
646.36,0.039900064
646.7,0.039486359
647.04,0.040031451
647.39,0.040069679
647.73,0.040068501
648.07,0.039674689
648.42,0.039492761
648.76,0.039351847
649.1,0.039183455
649.45,0.039270421
649.79,0.039045035
650.13,0.038698703
650.48,0.038640036
650.82,0.038544257
651.16,0.038035697
651.5,0.037394179
651.85,0.037221327
652.19,0.036717934
652.53,0.036899362
652.88,0.036226547
653.22,0.035803184
653.56,0.035965714
653.9,0.035405819
654.25,0.034635804
654.59,0.034626698
654.93,0.03403119
655.27,0.033581577
655.62,0.033412065
655.96,0.03318516
656.3,0.032515096
656.64,0.03186992
656.99,0.031699125
657.33,0.031133556
657.67,0.030673634
658.01,0.030053639
658.35,0.02982743
658.7,0.029503125
659.04,0.029185481
659.38,0.028997356
659.72,0.028591252
660.06,0.02806597
660.41,0.028169456
660.75,0.02756773
661.09,0.027363351
661.43,0.027617442
661.77,0.027139266
662.11,0.026630946
662.46,0.026568881
662.8,0.026635211
663.14,0.026392491
663.48,0.026042797
663.82,0.026326969
664.16,0.026116218
664.5,0.026039784
664.85,0.025569136
665.19,0.026038019
665.53,0.026375721
665.87,0.025788605
666.21,0.025661507
666.55,0.02552776
666.89,0.025202452
667.23,0.025167832
667.57,0.025413305
667.92,0.025462366
668.26,0.02602653
668.6,0.025741431
668.94,0.025680864
669.28,0.025504623
669.62,0.025481865
669.96,0.025845579
670.3,0.025606612
670.64,0.025863139
670.98,0.025905153
671.32,0.026189168
671.66,0.026127397
672,0.026043791
672.34,0.026400193
672.68,0.026087769
673.02,0.026742425
673.36,0.026189852
673.7,0.026975513
674.04,0.026357171
674.38,0.026887863
674.72,0.026897147
675.06,0.026727394
675.4,0.027127399
675.74,0.027135829
676.08,0.02779464
676.42,0.027158663
676.76,0.027073605
677.1,0.02738635
677.44,0.027720179
677.78,0.027998377
678.12,0.028203213
678.46,0.028418188
678.8,0.0279717
679.14,0.028548178
679.48,0.028536926
679.82,0.028761883
680.16,0.02861775
680.5,0.028915221
680.84,0.029726441
681.18,0.029527291
681.51,0.02955828
681.85,0.029618863
682.19,0.02999355
682.53,0.030401941
682.87,0.030201729
683.21,0.030628953
683.55,0.030859456
683.89,0.031059183
684.23,0.03116931
684.56,0.031087791
684.9,0.031650243
685.24,0.031946394
685.58,0.032038788
685.92,0.032584406
686.26,0.032540916
686.6,0.033480378
686.93,0.034127894
687.27,0.034292686
687.61,0.035139998
687.95,0.035721296
688.29,0.035815702
688.63,0.036044193
688.96,0.036690936
689.3,0.037445026
689.64,0.037681736
689.98,0.038526374
690.32,0.039801767
690.65,0.040144928
690.99,0.040408473
691.33,0.041583966
691.67,0.042655631
692.01,0.043722191
692.34,0.044938185
692.68,0.045521026
693.02,0.047202134
693.36,0.049523525
693.69,0.05110979
694.03,0.052852225
694.37,0.05442997
694.71,0.056208614
695.04,0.058693108
695.38,0.060568758
