wavelength (nm),reflection
736.54,0.449447548
736.87,0.450943267
737.2,0.449753374
737.53,0.449735106
737.86,0.448874142
738.19,0.452773019
738.53,0.453699063
738.86,0.453703527
739.19,0.451590464
739.52,0.455219168
739.85,0.453744086
740.18,0.453829544
740.51,0.453733691
740.85,0.453852376
741.18,0.452834607
741.51,0.451561437
741.84,0.454928667
742.17,0.455186903
742.5,0.454325894
742.83,0.45326707
743.16,0.454347242
743.49,0.452330938
743.82,0.455080662
744.16,0.455833396
744.49,0.454950347
744.82,0.455203625
745.15,0.456822187
745.48,0.454742713
745.81,0.456754093
746.14,0.455477965
746.47,0.455516914
746.8,0.456427309
747.13,0.455586124
747.46,0.455079098
747.79,0.459578779
748.12,0.457088273
748.45,0.457001858
748.78,0.457847512
749.11,0.457913253
749.44,0.457036104
749.77,0.458469612
750.1,0.459148906
750.43,0.456529479
750.76,0.458720113
751.09,0.457358637
751.42,0.458988865
751.75,0.459022013
752.08,0.457686666
752.41,0.457610537
752.74,0.458572952
753.07,0.459478718
753.4,0.4565635
753.73,0.460619891
754.06,0.458095673
754.39,0.457683319
