spectra (nm),algal lawn reflection
682.19,0.064416124
682.53,0.065346343
682.87,0.06552366
683.21,0.065503632
683.55,0.066971564
683.89,0.066801966
684.23,0.067639887
684.56,0.067374822
684.9,0.069133596
685.24,0.068703384
685.58,0.069631065
685.92,0.071310478
686.26,0.071773683
686.6,0.073980754
686.93,0.075053725
687.27,0.074841412
687.61,0.075478613
687.95,0.077123413
688.29,0.078128177
688.63,0.078432573
688.96,0.080421591
689.3,0.081088887
689.64,0.082254494
689.98,0.08335491
690.32,0.084220647
690.65,0.085622448
690.99,0.086683657
691.33,0.087401553
691.67,0.088568864
692.01,0.091505177
692.34,0.092686927
692.68,0.094518165
693.02,0.096027166
693.36,0.097321484
693.69,0.099370669
694.03,0.101911122
694.37,0.104377002
694.71,0.105424639
695.04,0.107993161
695.38,0.109208494
695.72,0.112424355
696.06,0.113985249
696.39,0.115147566
696.73,0.118264908
697.07,0.119624496
697.4,0.122537841
697.74,0.125200117
698.08,0.126909112
698.42,0.128751641
698.75,0.130790895
699.09,0.133321218
699.43,0.135814546
699.76,0.137546926
700.1,0.140190862
700.44,0.142885768
700.77,0.14591308
701.11,0.147806917
701.45,0.149530763
701.78,0.152434688
702.12,0.155073133
702.45,0.157802145
702.79,0.159822283
703.13,0.161969259
703.46,0.16445983
703.8,0.166066071
704.14,0.169290452
704.47,0.170816241
704.81,0.173535303
705.14,0.174979106
705.48,0.177740991
705.82,0.17988516
706.15,0.181428447
706.49,0.183931424
706.82,0.18524822
707.16,0.187577804
707.5,0.189767598
707.83,0.191205265
708.17,0.193032738
708.5,0.195647112
708.84,0.197871618
709.17,0.200130553
709.51,0.201867084
709.84,0.205030474
710.18,0.205031375
710.52,0.208270324
710.85,0.209167784
711.19,0.209450491
711.52,0.212417775
711.86,0.215607554
712.19,0.215703731
712.53,0.216502969
712.86,0.218428282
713.2,0.220523779
713.53,0.223156659
713.87,0.224251124
714.2,0.22657594
714.54,0.227339142
714.87,0.227990103
715.21,0.229964915
715.54,0.231744774
715.88,0.232866609
716.21,0.234962606
716.54,0.236607088
716.88,0.237426448
717.21,0.240051102
717.55,0.240343395
717.88,0.243780619
718.22,0.244027509
718.55,0.243795133
718.88,0.247101584
719.22,0.248799549
719.55,0.249026895
719.89,0.24777722
720.22,0.251265972
720.56,0.251274897
720.89,0.253537064
721.22,0.253284438
721.56,0.255129252
721.89,0.257725382
722.22,0.257837787
722.56,0.258253367
722.89,0.259023968
723.23,0.260979515
723.56,0.261827529
723.89,0.263060019
724.23,0.263500956
724.56,0.265494102
724.89,0.265771005
725.23,0.266155984
725.56,0.26747962
725.89,0.268863321
726.23,0.269514858
726.56,0.270977933
726.89,0.27280752
727.23,0.272824166
727.56,0.273220403
727.89,0.273141555
728.23,0.275903725
728.56,0.275511513
728.89,0.278299019
729.22,0.27786017
729.56,0.278601986
729.89,0.278296718
730.22,0.278014411
