spectra (nm),avg. montiporadigitata
606.92,0.145422476
607.27,0.144618047
607.61,0.144549028
607.96,0.143898887
608.31,0.143794904
608.66,0.143136221
609.01,0.142539432
609.36,0.141897311
609.7,0.141552131
610.05,0.140670899
610.4,0.13987993
610.75,0.139549769
611.1,0.138865377
611.44,0.13771812
611.79,0.137009095
612.14,0.136497384
612.49,0.136212794
612.83,0.135157513
613.18,0.135046188
613.53,0.133542613
613.88,0.133039441
614.22,0.13226469
614.57,0.131364172
614.92,0.13066758
615.27,0.130013508
615.61,0.129411304
615.96,0.128501615
616.31,0.127742844
616.66,0.127313117
617,0.126697319
617.35,0.12641442
617.7,0.125460566
618.04,0.125296876
618.39,0.12451221
618.74,0.123866351
619.08,0.123706643
619.43,0.1228823
619.78,0.122694227
620.12,0.122058325
620.47,0.121714331
620.82,0.121738747
621.16,0.121233813
621.51,0.120928379
621.86,0.120317709
622.2,0.119945194
622.55,0.119827534
622.9,0.119922634
623.24,0.119417343
623.59,0.119116589
623.94,0.118581587
624.28,0.118179363
624.63,0.118186679
624.98,0.117734433
625.32,0.11799846
625.67,0.11763264
626.01,0.117318543
626.36,0.117274908
626.71,0.116862331
627.05,0.116724681
627.4,0.116073194
627.74,0.115971699
628.09,0.115439946
628.43,0.115507532
628.78,0.11490288
629.13,0.114776836
629.47,0.114515962
629.82,0.114349247
630.16,0.113540437
630.51,0.113553112
630.85,0.11313446
631.2,0.112905623
631.54,0.112418332
631.89,0.111970616
632.24,0.112199811
632.58,0.111808542
632.93,0.111555741
633.27,0.111487407
633.62,0.111263146
633.96,0.110823233
634.31,0.110658655
634.65,0.110622147
635,0.110781351
635.34,0.110345234
635.69,0.110815986
636.03,0.110373739
636.38,0.110569801
636.72,0.110243481
637.07,0.110027498
637.41,0.110292074
637.75,0.110408155
638.1,0.110042813
638.44,0.110327375
638.79,0.110763342
639.13,0.110634129
639.48,0.110757925
639.82,0.109967959
640.17,0.110618281
640.51,0.11066957
640.85,0.110734456
641.2,0.110376804
641.54,0.110230606
641.89,0.110200167
642.23,0.110172421
642.57,0.110110016
642.92,0.11008693
643.26,0.110025138
643.61,0.109864052
643.95,0.109650832
644.29,0.109429743
644.64,0.109477353
644.98,0.109408591
645.33,0.109216691
645.67,0.108933401
646.01,0.108536491
646.36,0.108649267
646.7,0.108099892
647.04,0.108166431
647.39,0.107852209
647.73,0.108211302
648.07,0.107606483
648.42,0.107909287
648.76,0.107577888
649.1,0.107504283
649.45,0.106929429
649.79,0.106994872
650.13,0.107005557
650.48,0.10668407
650.82,0.106578498
651.16,0.106172382
651.5,0.106185215
651.85,0.105532873
652.19,0.105061612
652.53,0.104499054
652.88,0.104401728
653.22,0.103884968
653.56,0.103071993
653.9,0.102597915
654.25,0.101960605
654.59,0.101350626
654.93,0.100435369
655.27,0.099877784
655.62,0.099117746
655.96,0.097996132
656.3,0.096896603
656.64,0.095541286
656.99,0.093635571
657.33,0.09248479
657.67,0.090882845
658.01,0.089566184
658.35,0.088383132
658.7,0.086523498
659.04,0.085273681
659.38,0.084352691
659.72,0.08307618
660.06,0.081358243
660.41,0.079912798
660.75,0.078556089
661.09,0.076654755
661.43,0.075578723
661.77,0.074438491
662.11,0.072777759
662.46,0.071942704
662.8,0.070926431
663.14,0.069413509
663.48,0.067848487
663.82,0.067244367
664.16,0.066472309
664.5,0.06563627
664.85,0.064462375
665.19,0.063612681
665.53,0.063065609
665.87,0.062345839
666.21,0.061375813
666.55,0.060737564
666.89,0.060224244
667.23,0.059705242
667.57,0.059183744
667.92,0.058447208
