seagrass,ref
607.27,0.048204063
607.61,0.048107444
607.96,0.047952523
608.31,0.048092739
608.66,0.04773414
609.01,0.047868687
609.36,0.047767079
609.7,0.047789527
610.05,0.047583566
610.4,0.047387189
610.75,0.047300049
611.1,0.047194105
611.44,0.047105508
611.79,0.046960587
612.14,0.046832846
612.49,0.047074235
612.83,0.04678042
613.18,0.046664568
613.53,0.046664765
613.88,0.04637925
614.22,0.046442257
614.57,0.046294198
614.92,0.046325236
615.27,0.046169023
615.61,0.046122366
615.96,0.046001929
616.31,0.045851467
616.66,0.045712072
617,0.045480191
617.35,0.045483943
617.7,0.045471426
618.04,0.045390698
618.39,0.04511227
618.74,0.04514838
619.08,0.045029132
619.43,0.045125866
619.78,0.044972322
620.12,0.045021514
620.47,0.04506181
620.82,0.045009589
621.16,0.044798283
621.51,0.044507324
621.86,0.044782441
622.2,0.044859318
622.55,0.044699303
622.9,0.044561135
623.24,0.044917096
623.59,0.044562124
623.94,0.044612021
624.28,0.044637505
624.63,0.04452855
624.98,0.044482982
625.32,0.044690431
625.67,0.044689838
626.01,0.044603644
626.36,0.044367286
626.71,0.044322488
627.05,0.04430763
627.4,0.044478949
627.74,0.044782431
628.09,0.044458674
628.43,0.044322812
628.78,0.044323569
629.13,0.044315986
629.47,0.044407687
629.82,0.044277857
630.16,0.044475948
630.51,0.044222861
630.85,0.044370403
631.2,0.044483167
631.54,0.044374118
631.89,0.044420525
632.24,0.044297777
632.58,0.0443666
632.93,0.044274056
633.27,0.044277814
633.62,0.044325597
633.96,0.044392974
634.31,0.043956053
634.65,0.044078742
635,0.044287599
635.34,0.043689723
635.69,0.044184
636.03,0.043991778
636.38,0.043913095
636.72,0.043672707
637.07,0.043754718
637.41,0.043614797
637.75,0.043432488
638.1,0.04326853
638.44,0.043353184
638.79,0.043273786
639.13,0.043128042
639.48,0.043158477
639.82,0.042665194
640.17,0.043082225
640.51,0.042346008
640.85,0.042287597
641.2,0.042258284
641.54,0.042001022
641.89,0.04201202
642.23,0.0415542
642.57,0.041816898
642.92,0.041535254
643.26,0.041174271
643.61,0.041001602
643.95,0.041113426
644.29,0.041018272
644.64,0.040967955
644.98,0.04086074
645.33,0.040667666
645.67,0.040271653
646.01,0.040034658
646.36,0.039874581
646.7,0.039661317
647.04,0.039277601
647.39,0.039339591
647.73,0.039252819
648.07,0.039137341
648.42,0.038786564
648.76,0.039123922
649.1,0.038734106
649.45,0.038433555
649.79,0.038546806
650.13,0.038320345
650.48,0.038216
650.82,0.038410955
651.16,0.038405689
651.5,0.038153977
651.85,0.037925251
652.19,0.038134241
652.53,0.037989307
652.88,0.037786469
653.22,0.038047383
653.56,0.037612809
653.9,0.03769935
654.25,0.037852892
654.59,0.037525632
654.93,0.0373923
655.27,0.037552781
655.62,0.037609868
655.96,0.037781408
656.3,0.037221255
656.64,0.037086523
656.99,0.037377367
657.33,0.036853836
657.67,0.03695724
658.01,0.036835703
658.35,0.036285356
658.7,0.036705795
659.04,0.03595545
659.38,0.036467699
659.72,0.036234733
660.06,0.035699667
660.41,0.03580676
660.75,0.035890341
661.09,0.035817535
661.43,0.035392567
661.77,0.035433982
662.11,0.035146018
662.46,0.035233091
662.8,0.035066255
663.14,0.034529822
663.48,0.034543666
663.82,0.034296591
664.16,0.034198206
664.5,0.033961226
664.85,0.033820331
665.19,0.033583787
665.53,0.033906911
665.87,0.033523341
666.21,0.033506379
666.55,0.033558929
666.89,0.03309589
667.23,0.033330034
667.57,0.033191379
667.92,0.03283333
668.26,0.03277651
668.6,0.03318373
668.94,0.032982305
669.28,0.032900752
669.62,0.032771603
669.96,0.032763726
670.3,0.032755468
670.64,0.032622212
670.98,0.03285429
671.32,0.032433682
671.66,0.032946963
672,0.032574433
672.34,0.032722156
672.68,0.032564831
673.02,0.032769378
673.36,0.032400482
673.7,0.03296416
674.04,0.033155296
674.38,0.032890806
674.72,0.032855498
675.06,0.032577591
675.4,0.032981928
675.74,0.033210787
676.08,0.033254607
676.42,0.03283495
676.76,0.033149733
677.1,0.033194674
677.44,0.033227214
677.78,0.033583952
678.12,0.033666059
678.46,0.033236243
678.8,0.033504129
