Wavelength (nm),Panchromatic,Coastal,Blue,Green,Yellow,Red,Red Edge,NIR1,NIR2
463,4.97E-01,1.06E-03,8.03E-01,4.93E-06,5.64E-07,2.60E-06,1.55E-07,3.71E-07,1.22E-07
464,5.01E-01,5.04E-04,8.06E-01,5.95E-06,4.08E-07,9.13E-07,1.57E-07,3.45E-07,2.44E-07
465,5.05E-01,3.61E-04,8.10E-01,8.51E-06,5.09E-07,7.96E-07,1.63E-07,5.22E-07,4.14E-07
466,5.08E-01,2.17E-04,8.14E-01,1.11E-05,6.09E-07,6.85E-07,1.69E-07,6.99E-07,5.85E-07
467,5.13E-01,1.70E-04,8.19E-01,1.22E-05,5.35E-07,6.46E-07,1.24E-07,6.43E-07,3.01E-07
468,5.18E-01,1.21E-04,8.24E-01,1.34E-05,4.59E-07,6.06E-07,7.82E-08,5.86E-07,1.45E-08
469,5.22E-01,9.63E-05,8.25E-01,1.37E-05,4.47E-07,8.94E-07,1.14E-07,4.81E-07,1.15E-08
470,5.26E-01,7.12E-05,8.26E-01,1.41E-05,4.33E-07,1.18E-06,1.49E-07,3.76E-07,8.46E-09
471,5.27E-01,5.86E-05,8.28E-01,1.44E-05,5.57E-07,2.03E-06,3.26E-07,3.75E-07,4.29E-09
472,5.28E-01,4.62E-05,8.29E-01,1.48E-05,6.82E-07,2.87E-06,5.03E-07,3.74E-07,1.12E-10
473,5.31E-01,2.99E-05,8.33E-01,1.70E-05,6.74E-07,1.93E-06,5.93E-07,3.86E-07,1.89E-06
474,5.33E-01,1.36E-05,8.37E-01,1.92E-05,6.66E-07,9.92E-07,6.85E-07,4.00E-07,3.79E-06
475,5.36E-01,1.15E-05,8.42E-01,1.98E-05,7.06E-07,9.55E-07,7.84E-07,7.36E-07,3.68E-06
476,5.33E-01,9.44E-06,8.48E-01,2.03E-05,7.45E-07,9.25E-07,8.81E-07,1.08E-06,3.57E-06
477,5.31E-01,9.54E-06,8.58E-01,2.09E-05,7.12E-07,9.28E-07,1.40E-06,1.28E-06,1.96E-06
478,5.29E-01,9.64E-06,8.68E-01,2.15E-05,6.78E-07,9.23E-07,1.91E-06,1.48E-06,3.40E-07
479,5.25E-01,7.40E-06,8.73E-01,2.20E-05,6.93E-07,7.41E-07,1.38E-06,1.04E-06,2.77E-07
480,5.22E-01,5.14E-06,8.78E-01,2.26E-05,7.07E-07,5.62E-07,8.51E-07,6.08E-07,2.15E-07
481,5.24E-01,8.17E-06,8.78E-01,2.36E-05,7.12E-07,9.05E-07,2.24E-06,5.70E-07,1.38E-07
482,5.26E-01,1.12E-05,8.77E-01,2.46E-05,7.17E-07,1.24E-06,3.63E-06,5.32E-07,6.01E-08
