spectrum (nm),reflectance
652.88,0.08506038
653.22,0.084726532
653.56,0.084701188
653.9,0.084166474
654.25,0.083747108
654.59,0.083244802
654.93,0.083624665
655.27,0.082856555
655.62,0.082632284
655.96,0.082050958
656.3,0.081053423
656.64,0.079777194
656.99,0.078993446
657.33,0.078231284
657.67,0.077061222
658.01,0.076987697
658.35,0.076193415
658.7,0.074851203
659.04,0.074549495
659.38,0.07356456
659.72,0.072556714
660.06,0.071899617
660.41,0.071180283
660.75,0.070595436
661.09,0.069719655
661.43,0.068941627
661.77,0.068402883
662.11,0.067679845
662.46,0.066999947
662.8,0.066467906
663.14,0.065721044
663.48,0.065018336
663.82,0.064256444
664.16,0.063729691
664.5,0.062727436
664.85,0.062849177
665.19,0.062175558
665.53,0.061880019
665.87,0.061425914
666.21,0.061115564
666.55,0.060366063
666.89,0.060090927
667.23,0.059683366
667.57,0.059609556
667.92,0.059379785
668.26,0.059244992
668.6,0.059367798
668.94,0.058874827
669.28,0.058630274
669.62,0.058628369
669.96,0.058532357
670.3,0.058226531
670.64,0.058470738
670.98,0.058504885
671.32,0.058778323
671.66,0.058556775
672,0.058625936
672.34,0.058524244
672.68,0.058409306
673.02,0.058669758
673.36,0.058744909
673.7,0.059215652
674.04,0.059050202
674.38,0.058957833
674.72,0.059425134
675.06,0.059888033
675.4,0.06034276
675.74,0.060021568
676.08,0.060267895
676.42,0.060501566
676.76,0.060784141
677.1,0.061088987
677.44,0.061461317
677.78,0.061829799
678.12,0.062249714
678.46,0.062340527
678.8,0.062912894
679.14,0.063222105
679.48,0.063690223
679.82,0.063869963
680.16,0.064491024
680.5,0.064821614
680.84,0.065670742
681.18,0.066145264
681.51,0.066618532
681.85,0.067363096
682.19,0.067472394
682.53,0.068626784
682.87,0.069245846
683.21,0.069866192
683.55,0.071056237
683.89,0.071791155
684.23,0.072698934
684.56,0.073587523
684.9,0.074575058
685.24,0.075905963
685.58,0.077032434
685.92,0.079336916
686.26,0.080875669
686.6,0.083565043
686.93,0.085912586
687.27,0.08690749
687.61,0.088541133
687.95,0.089694084
688.29,0.092210222
688.63,0.094867276
688.96,0.097235109
689.3,0.099146513
689.64,0.10218131
689.98,0.103570158
690.32,0.106701455
690.65,0.110032301
690.99,0.112597651
691.33,0.115864939
691.67,0.118989037
692.01,0.122600449
692.34,0.126654312
692.68,0.130991634
693.02,0.135521434
693.36,0.139736368
693.69,0.144386922
694.03,0.148752402
694.37,0.153937823
694.71,0.158723206
695.04,0.163787339
695.38,0.168109018
695.72,0.17332648
696.06,0.178827426
696.39,0.184252521
696.73,0.188854612
697.07,0.193791218
697.4,0.200382608
697.74,0.205052277
698.08,0.21142561
698.42,0.216485201
698.75,0.222284914
699.09,0.227106891
699.43,0.233463439
699.76,0.23991392
700.1,0.245612901
700.44,0.251396071
700.77,0.256586948
701.11,0.26250803
701.45,0.267995697
701.78,0.274309484
702.12,0.281339454
702.45,0.285139086
702.79,0.290611098
703.13,0.294334622
703.46,0.30087419
703.8,0.306373314
704.14,0.310390187
704.47,0.315967781
704.81,0.320352613
705.14,0.324501933
705.48,0.328080069
705.82,0.335017525
706.15,0.339041057
706.49,0.343871294
706.82,0.348796569
707.16,0.353374822
707.5,0.356737595
707.83,0.359692776
708.17,0.365621736
708.5,0.367481342
708.84,0.373115608
709.17,0.376096328
709.51,0.378941734
709.84,0.38362752
710.18,0.38647893
710.52,0.391458516
710.85,0.395389009
711.19,0.398022244
711.52,0.401908968
711.86,0.404137558
712.19,0.407258399
712.53,0.410388711
712.86,0.414141837
713.2,0.417695727
713.53,0.419408633
713.87,0.423134829
714.2,0.426213271
714.54,0.428693107
714.87,0.431684467
715.21,0.434492404
715.54,0.43711107
715.88,0.439609896
716.21,0.442937716
716.54,0.447468348
716.88,0.451673714
717.21,0.453873693
717.55,0.458050805
717.88,0.460368839
718.22,0.464093354
718.55,0.466798227
718.88,0.470297005
719.22,0.474008116
719.55,0.477383436
719.89,0.479075944
720.22,0.479106692
720.56,0.478557991
720.89,0.480633315
721.22,0.484220628
721.56,0.487338091
721.89,0.48855581
722.22,0.489844382
722.56,0.490689951
722.89,0.495422928
723.23,0.496241127
723.56,0.499090308
723.89,0.500566097
724.23,0.503824791
724.56,0.509406205
724.89,0.510931001
725.23,0.51308124
725.56,0.514354569
725.89,0.517074902
726.23,0.517714663
726.56,0.519911752
726.89,0.521263722
727.23,0.524289935
727.56,0.526872347
727.89,0.529614248
728.23,0.531104135
728.56,0.535917655
728.89,0.53393812
729.22,0.538625787
729.56,0.53969559
729.89,0.541861406
730.22,0.544243915
730.55,0.545183443
730.89,0.547949227
731.22,0.55060114
731.55,0.551380684
731.89,0.554268494
732.22,0.553195472
732.55,0.556694567
732.88,0.557420428
733.21,0.558711878
733.55,0.558489147
733.88,0.563451937
734.21,0.563047636
734.54,0.565438719
734.88,0.568123848
735.21,0.569113861
735.54,0.572538104
735.87,0.573498426
736.2,0.574767976
736.54,0.57517011
736.87,0.579422508
737.2,0.580857227
737.53,0.582792035
737.86,0.586255488
738.19,0.585145085
738.53,0.586058088
738.86,0.591287481
739.19,0.590374907
739.52,0.593761868
739.85,0.593667672
740.18,0.598637002
740.51,0.599898258
740.85,0.600119566
741.18,0.60229613
741.51,0.602792376
741.84,0.605997466
742.17,0.604093482
742.5,0.606084287
742.83,0.609022934
743.16,0.611949085
743.49,0.611467828
743.82,0.613551265
744.16,0.614788302
744.49,0.61825345
744.82,0.61712098
745.15,0.621165394
745.48,0.620179566
745.81,0.622200191
746.14,0.623328714
746.47,0.622696261
746.8,0.624796802
747.13,0.629700162
747.46,0.626677024
747.79,0.630273703
748.12,0.630838164
748.45,0.631759287
748.78,0.633277361
749.11,0.632096226
749.44,0.635153981
749.77,0.636259986
750.1,0.63821047
750.43,0.638764142
750.76,0.63992834
751.09,0.64324313
751.42,0.644511002
751.75,0.641497514
752.08,0.646887636
752.41,0.646075846
752.74,0.647611856
753.07,0.646329763
753.4,0.648722338
753.73,0.649395181
754.06,0.648543451
754.39,0.650355825
754.72,0.652414443
755.05,0.653167023
755.38,0.654573443
755.71,0.656215716
756.03,0.653666745
756.36,0.655918996
756.69,0.658216073
757.02,0.656102133
757.35,0.658702361
757.68,0.660856798
758.01,0.658877442
758.34,0.660551314
758.67,0.66370086
758.99,0.664898864
759.32,0.664902454
759.65,0.669930703
759.98,0.67257058
760.31,0.675595529
760.64,0.676464149
760.97,0.670260911
761.29,0.670215807
761.62,0.672792337
761.95,0.670846111
762.28,0.66825291
762.61,0.672493108
762.94,0.675170663
763.26,0.669875677
763.59,0.669955724
763.92,0.673224463
764.25,0.673182417
764.58,0.672848012
764.9,0.672507931
765.23,0.675165018
765.56,0.673026587
765.89,0.676259798
766.22,0.67730702
766.54,0.67715596
766.87,0.675732841
767.2,0.676052199
767.53,0.676774233
767.85,0.676132688
768.18,0.675096179
768.51,0.677013366
768.84,0.679888461
769.16,0.680352756
769.49,0.681286576
769.82,0.677414946
770.15,0.680478363
770.47,0.68329904
770.8,0.680197419
771.13,0.68234494
771.45,0.683694843
771.78,0.680763005
772.11,0.685950434
772.43,0.68386026
772.76,0.682999303
773.09,0.682288322
773.41,0.686947261
773.74,0.684251591
774.07,0.684668032
774.39,0.68768778
774.72,0.685023794
775.05,0.687703488
775.37,0.687561268
775.7,0.68646057
776.03,0.687029089
776.35,0.686712633
776.68,0.689686902
777.01,0.690431246
777.33,0.689497905
