muricata,reflection
615.61,0.089040324
615.96,0.090182467
616.31,0.089925086
616.66,0.090323751
617,0.092346407
617.35,0.093142618
617.7,0.095907505
618.04,0.095606752
618.39,0.094663816
618.74,0.095691091
619.08,0.097714436
619.43,0.098376687
619.78,0.097154791
620.12,0.099187455
620.47,0.099669539
620.82,0.101992261
621.16,0.102308204
621.51,0.102616866
621.86,0.101964575
622.2,0.103289732
622.55,0.106508379
622.9,0.106671887
623.24,0.10665238
623.59,0.10676162
623.94,0.108407932
624.28,0.109799458
624.63,0.108997751
624.98,0.109493264
625.32,0.112682096
625.67,0.109957739
626.01,0.111889961
626.36,0.111783359
626.71,0.113929369
627.05,0.113577503
627.4,0.115717323
627.74,0.113262264
628.09,0.115211137
628.43,0.117658188
628.78,0.119342924
629.13,0.118324283
629.47,0.117308175
629.82,0.11994336
630.16,0.119059392
630.51,0.123753873
630.85,0.12136097
631.2,0.120454353
631.54,0.122764135
631.89,0.123110059
632.24,0.126702225
632.58,0.123235709
632.93,0.124142361
633.27,0.124510218
633.62,0.125226454
633.96,0.124131429
634.31,0.130601127
634.65,0.124540498
635,0.125192813
635.34,0.125539893
635.69,0.12712343
636.03,0.12635711
636.38,0.127645986
636.72,0.130684782
637.07,0.130427291
637.41,0.126853504
637.75,0.133064452
638.1,0.136548845
638.44,0.134776759
638.79,0.133038215
639.13,0.133062066
639.48,0.131044664
639.82,0.133011255
640.17,0.138703999
640.51,0.13497823
640.85,0.130599793
641.2,0.133254245
641.54,0.136007882
641.89,0.13413899
642.23,0.139194442
642.57,0.135191751
642.92,0.135634858
643.26,0.138016993
643.61,0.134398907
643.95,0.139309338
644.29,0.135892277
644.64,0.134970224
644.98,0.13185381
645.33,0.137034267
645.67,0.134658148
646.01,0.135792902
646.36,0.13857864
646.7,0.136279099
647.04,0.136648192
647.39,0.137021429
647.73,0.138597941
648.07,0.140227837
648.42,0.141747428
648.76,0.140884956
649.1,0.136579478
649.45,0.136406716
649.79,0.136981889
650.13,0.133158964
650.48,0.130554012
650.82,0.134992888
651.16,0.137770176
651.5,0.1387786
651.85,0.13611214
652.19,0.136746391
652.53,0.138396511
652.88,0.135505075
653.22,0.132012672
653.56,0.137547623
653.9,0.132980625
654.25,0.129843451
654.59,0.135590494
654.93,0.132057285
655.27,0.132340524
655.62,0.128624388
655.96,0.130699133
656.3,0.134652292
656.64,0.131537763
656.99,0.131703988
657.33,0.127922218
657.67,0.121740216
658.01,0.125240243
658.35,0.123759476
658.7,0.121768157
659.04,0.120631712
659.38,0.119942738
659.72,0.115793756
660.06,0.120750476
660.41,0.114352466
660.75,0.116547998
661.09,0.113364574
661.43,0.113056715
661.77,0.110684064
662.11,0.111609823
662.46,0.111287847
662.8,0.105126573
663.14,0.107896764
663.48,0.101996023
663.82,0.109329161
664.16,0.103006612
664.5,0.097107603
664.85,0.099909059
665.19,0.098291901
665.53,0.097674647
665.87,0.095261118
666.21,0.098204032
666.55,0.095031946
666.89,0.101258736
667.23,0.094737145
667.57,0.096489385
667.92,0.092407226
668.26,0.092111098
668.6,0.092223018
668.94,0.094657512
669.28,0.093791551
669.62,0.087139443
669.96,0.084984628
670.3,0.089793479
670.64,0.089460378
670.98,0.090357723
671.32,0.083395772
671.66,0.08918968
672,0.088837404
672.34,0.087674642
672.68,0.088587052
673.02,0.085777031
673.36,0.08870571
673.7,0.088704876
674.04,0.086350353
674.38,0.090839875
674.72,0.084661446
675.06,0.085840597
675.4,0.083853648
675.74,0.089384467
676.08,0.086025004
676.42,0.092970632
676.76,0.086350007
677.1,0.08764454
677.44,0.084887818
677.78,0.084709094
678.12,0.090323048
678.46,0.091818658
678.8,0.087244199
679.14,0.090346921
679.48,0.093047948
679.82,0.094479417
680.16,0.095466475
680.5,0.096475303
680.84,0.09145793
681.18,0.095965645
681.51,0.091543734
681.85,0.100619835
682.19,0.09553499
682.53,0.093551922
682.87,0.097887146
683.21,0.100204571
683.55,0.101709257
683.89,0.103492145
684.23,0.103962425
684.56,0.105161165
684.9,0.10800065
685.24,0.10705848
685.58,0.109267731
685.92,0.112292826
686.26,0.123415486
686.6,0.120609203
686.93,0.123078865
687.27,0.125381207
687.61,0.119237609
687.95,0.129006548
688.29,0.140096192
688.63,0.129928478
688.96,0.133067356
689.3,0.143167718
689.64,0.138428056
689.98,0.142312704
690.32,0.154276882
690.65,0.16337819
690.99,0.170021818
691.33,0.164724386
691.67,0.167842493
692.01,0.167508184
692.34,0.18258734
692.68,0.180333198
693.02,0.181657821
693.36,0.19355589
693.69,0.192930048
694.03,0.198936292
694.37,0.206833829
694.71,0.207101755
695.04,0.214517934
695.38,0.218610225
695.72,0.228783855
696.06,0.231564791
696.39,0.22812286
696.73,0.242663196
697.07,0.249644864
697.4,0.255092474
697.74,0.248218322
698.08,0.258645667
698.42,0.258244747
698.75,0.269078369
699.09,0.279456172
699.43,0.273347898
699.76,0.287270416
700.1,0.283392397
700.44,0.293351686
700.77,0.287852427
701.11,0.299773681
701.45,0.306866086
701.78,0.316005565
702.12,0.310444076
702.45,0.325253868
702.79,0.321761672
703.13,0.331521642
703.46,0.329551214
703.8,0.332575015
704.14,0.341998651
704.47,0.341744414
704.81,0.348297857
705.14,0.348715667
705.48,0.345618964
705.82,0.369745615
706.15,0.340318833
706.49,0.359669678
706.82,0.372515781
707.16,0.377190697
707.5,0.378466534
707.83,0.378433856
708.17,0.385986184
708.5,0.372980083
708.84,0.384752484
709.17,0.389844923
709.51,0.395091202
709.84,0.381413582
710.18,0.400760931
710.52,0.390221715
710.85,0.39612874
711.19,0.38913512
711.52,0.396128055
711.86,0.408454884
712.19,0.403396536
712.53,0.40381932
712.86,0.40544056
713.2,0.415385768
713.53,0.401569469
713.87,0.415616422
714.2,0.412808245
714.54,0.413912551
714.87,0.422949017
715.21,0.418229369
715.54,0.420214984
715.88,0.415952209
716.21,0.43790766
716.54,0.430436946
716.88,0.417605259
717.21,0.431346889
717.55,0.427231303
717.88,0.432601193
718.22,0.437937967
718.55,0.434662284
718.88,0.437447916
719.22,0.429036254
719.55,0.424806311
719.89,0.434885657
720.22,0.462002359
720.56,0.439844199
720.89,0.445944304
721.22,0.44091676
721.56,0.457733476
721.89,0.445996968
722.22,0.449111875
722.56,0.460319632
722.89,0.46726237
723.23,0.440002495
723.56,0.445305913
